number	type	direction	stop|Chandler Fashion Center|0|1	stop|Rural Rd & Chandler Blvd|50|1	stop|Rural Rd & Ray Rd|100|1	stop|Rural Rd & Elliot Rd|150|1	stop|Rural Rd & Southern Ave|200|1	stop|Tempe Transportation Center|250|1	stop|Scottsdale Rd & Mcdowell Rd|300|1	stop|Scottsdale Rd & Camelback Rd|350|1	stop|Scottsdale Rd & Lincoln Dr|400|1	stop|Scottsdale Rd & Shea Blvd|450|1	stop|Scottsdale Park And Ride|500|1	stop|Scottsdale Rd & Frank Lloyd Wright Blvd|550|1	stop|Thompson Peak Pkwy & Scottsdale Healthcare Dr|600|1	stop|Camelback Rd & Scottsdale Rd|650|1
136	B	S	-	-	-	-	-	12:30PM	12:13PM	12:02PM	-	-	-	-	-	-
137	B	S	1:23PM	1:17PM	1:14PM	1:08PM	12:57PM	12:40PM	12:23PM	12:12PM	12:04PM	11:55AM	11:46AM	11:38AM	11:29AM	-
138	B	S	-	-	-	-	-	12:50PM	12:33PM	12:22PM	-	-	-	-	-	-
139	B	S	1:43PM	1:37PM	1:34PM	1:28PM	1:17PM	1:00PM	12:43PM	12:32PM	12:24PM	12:15PM	12:06PM	11:58AM	11:49AM	-
140	B	S	-	-	-	-	-	1:10PM	12:53PM	12:42PM	-	-	-	-	-	-
141	B	S	2:03PM	1:57PM	1:54PM	1:48PM	1:37PM	1:20PM	1:03PM	12:52PM	12:44PM	12:35PM	12:26PM	12:18PM	12:09PM	-
142	B	S	-	-	-	-	-	1:30PM	1:13PM	1:02PM	-	-	-	-	-	-
143	B	S	2:23PM	2:17PM	2:14PM	2:08PM	1:57PM	1:40PM	1:23PM	1:12PM	1:04PM	12:55PM	12:46PM	12:38PM	12:29PM	-
144	B	S	-	-	-	-	-	1:50PM	1:33PM	1:22PM	-	-	-	-	-	-
145	B	S	2:47PM	2:39PM	2:35PM	2:28PM	2:17PM	2:00PM	1:43PM	1:32PM	1:24PM	1:15PM	1:06PM	12:58PM	12:49PM	-
146	B	S	-	-	-	-	-	2:10PM	1:53PM	1:42PM	-	-	-	-	-	-
147	B	S	3:09PM	3:01PM	2:57PM	2:50PM	2:37PM	2:20PM	2:03PM	1:52PM	1:44PM	1:35PM	1:26PM	1:18PM	1:09PM	-
148	B	S	-	-	-	-	-	2:30PM	2:13PM	2:02PM	-	-	-	-	-	-
149	B	S	3:30PM	3:22PM	3:18PM	3:11PM	2:58PM	2:40PM	2:22PM	2:11PM	2:03PM	1:54PM	1:45PM	1:37PM	1:28PM	-
150	B	S	-	-	-	-	-	2:50PM	2:32PM	2:20PM	-	-	-	-	-	-
151	B	S	3:50PM	3:42PM	3:38PM	3:31PM	3:18PM	3:00PM	2:42PM	2:29PM	2:21PM	2:12PM	2:03PM	1:55PM	1:46PM	-
152	B	S	-	-	-	-	-	3:10PM	2:52PM	2:39PM	-	-	-	-	-	-
153	B	S	4:10PM	4:02PM	3:58PM	3:51PM	3:38PM	3:20PM	3:02PM	2:49PM	2:40PM	2:29PM	2:20PM	2:12PM	2:03PM	-
154	B	S	-	-	-	-	-	3:30PM	3:12PM	2:59PM	-	-	-	-	-	-
155	B	S	4:30PM	4:22PM	4:18PM	4:11PM	3:58PM	3:40PM	3:22PM	3:09PM	3:00PM	2:49PM	2:39PM	2:29PM	2:20PM	-
156	B	S	-	-	-	-	-	3:50PM	3:32PM	3:19PM	-	-	-	-	-	-
157	B	S	4:50PM	4:42PM	4:38PM	4:31PM	4:18PM	4:00PM	3:42PM	3:29PM	3:20PM	3:09PM	2:59PM	2:48PM	2:38PM	-
158	B	S	-	-	-	-	-	4:10PM	3:52PM	3:39PM	-	-	-	-	-	-
159	B	S	5:10PM	5:02PM	4:58PM	4:51PM	4:38PM	4:20PM	4:02PM	3:49PM	3:40PM	3:29PM	3:19PM	3:08PM	2:58PM	-
160	B	S	-	-	-	-	-	4:30PM	4:12PM	3:59PM	-	-	-	-	-	-
161	B	S	5:30PM	5:22PM	5:18PM	5:11PM	4:58PM	4:40PM	4:22PM	4:09PM	4:00PM	3:49PM	3:39PM	3:28PM	3:18PM	-
162	B	S	-	-	-	-	-	4:50PM	4:32PM	4:19PM	-	-	-	-	-	-
163	B	S	5:50PM	5:42PM	5:38PM	5:31PM	5:18PM	5:00PM	4:42PM	4:29PM	4:20PM	4:09PM	3:59PM	3:48PM	3:38PM	-
164	B	S	-	-	-	-	-	5:10PM	4:52PM	4:39PM	4:30PM	4:19PM	4:09PM	-	-	-
165	B	S	6:10PM	6:02PM	5:58PM	5:51PM	5:38PM	5:20PM	5:02PM	4:49PM	4:40PM	4:29PM	4:19PM	4:08PM	3:58PM	-
166	B	S	-	-	-	-	-	5:30PM	5:12PM	4:59PM	4:50PM	4:39PM	4:29PM	-	-	-
167	B	S	6:30PM	6:22PM	6:18PM	6:11PM	5:58PM	5:40PM	5:22PM	5:09PM	5:00PM	4:49PM	4:39PM	4:28PM	4:18PM	-
168	B	S	-	-	-	-	-	5:50PM	5:32PM	5:19PM	5:10PM	4:59PM	4:49PM	-	-	-
169	B	S	6:50PM	6:42PM	6:38PM	6:31PM	6:18PM	6:00PM	5:42PM	5:29PM	5:20PM	5:09PM	4:59PM	4:48PM	4:38PM	-
170	B	S	-	-	-	-	-	6:10PM	5:52PM	5:39PM	5:30PM	5:19PM	5:09PM	-	-	-
171	B	S	7:08PM	7:02PM	6:58PM	6:51PM	6:38PM	6:20PM	6:02PM	5:49PM	5:40PM	5:29PM	5:19PM	5:08PM	4:58PM	-
172	B	S	7:23PM	7:17PM	7:14PM	7:09PM	6:58PM	6:40PM	6:22PM	6:09PM	6:00PM	5:49PM	5:39PM	5:28PM	5:18PM	-
173	B	S	7:40PM	7:34PM	7:31PM	7:26PM	7:15PM	7:00PM	6:42PM	6:29PM	6:20PM	6:09PM	5:59PM	5:48PM	5:38PM	-
174	B	S	8:00PM	7:54PM	7:51PM	7:46PM	7:35PM	7:20PM	7:06PM	6:55PM	6:46PM	6:35PM	6:25PM	6:14PM	6:04PM	-
175	B	S	8:29PM	8:23PM	8:20PM	8:15PM	8:04PM	7:49PM	7:35PM	7:25PM	7:17PM	7:08PM	7:01PM	6:50PM	6:40PM	-
176	B	S	9:00PM	8:54PM	8:51PM	8:46PM	8:35PM	8:20PM	8:06PM	7:56PM	7:48PM	7:39PM	7:32PM	7:24PM	7:17PM	-
177	B	S	9:30PM	9:24PM	9:21PM	9:16PM	9:05PM	8:50PM	8:36PM	8:26PM	8:18PM	8:09PM	8:02PM	7:54PM	7:47PM	-
178	B	S	10:00PM	9:54PM	9:51PM	9:46PM	9:35PM	9:20PM	9:06PM	8:56PM	8:48PM	8:39PM	8:32PM	8:24PM	8:17PM	-
179	B	S	-	-	10:21PM	10:16PM	10:05PM	9:50PM	9:36PM	9:26PM	9:18PM	9:09PM	9:02PM	8:54PM	8:47PM	-
180	B	S	-	-	10:51PM	10:46PM	10:35PM	10:20PM	10:06PM	9:56PM	9:48PM	9:39PM	9:32PM	9:24PM	9:17PM	-
181	B	S	-	-	11:21PM	11:16PM	11:05PM	10:50PM	10:36PM	10:26PM	10:18PM	10:09PM	10:02PM	9:54PM	9:47PM	-
182	B	S	-	-	11:51PM	11:46PM	11:35PM	11:20PM	11:06PM	10:56PM	10:48PM	10:39PM	10:32PM	10:24PM	10:17PM	-
183	B	S	-	-	12:21AM	12:16AM	12:05AM	11:50PM	11:36PM	11:26PM	11:18PM	11:09PM	11:02PM	10:54PM	10:47PM	-
184	B	S	-	-	12:51AM	12:46AM	12:35AM	12:20AM	-	-	-	-	-	-	-	-
