number	type	direction	stop|Broadway Rd & 19th Ave|0|1	stop|Broadway Rd & Central Ave|50|1	stop|Broadway Rd & 24th St|100|1	stop|Broadway Rd & 32nd St|150|1	stop|Broadway Rd & 48th St|200|1	stop|Broadway Rd & Hardy Dr|250|1	stop|Broadway Rd & Rural Rd|300|1	stop|Broadway Rd & Price Rd|350|1	stop|Main St & Sycamore Dr|400|1	stop|Broadway Rd & Pomeroy|450|1	stop|Broadway Rd & Mesa Dr|500|1	stop|Broadway Rd & Gilbert Rd|550|1	stop|Broadway Rd & Greenfield Rd|600|1	stop|Power Rd & Baywood Ave|650|1	stop|Superstition Springs Transit Center|700|1	stop|Price Rd & Broadway Rd|750|1
98	B	W	6:21PM	6:28PM	6:38PM	6:42PM	6:48PM	6:54PM	7:00PM	7:07PM	7:15PM		7:29PM	7:37PM	7:46PM	7:56PM	8:06PM	-
99	B	W	6:50PM	6:56PM	7:06PM	7:10PM	7:16PM	7:22PM	7:28PM	7:35PM	7:43PM		7:57PM	8:05PM	8:14PM	8:24PM	8:34PM	-
100	B	W	7:20PM	7:26PM	7:36PM	7:40PM	7:46PM	7:52PM	7:58PM	8:05PM	8:13PM		8:27PM	8:35PM	8:44PM	8:54PM	9:04PM	-
101	B	W	7:50PM	7:56PM	8:06PM	8:10PM	8:16PM	8:22PM	8:28PM	8:35PM	8:43PM		8:57PM	9:05PM	9:14PM	9:24PM	9:34PM	-
102	B	W	8:20PM	8:26PM	8:36PM	8:40PM	8:46PM	8:52PM	8:58PM	9:05PM	9:13PM		9:27PM	9:35PM	9:44PM	9:54PM	10:04PM	-
103	B	W	8:48PM	8:54PM	9:04PM	9:08PM	9:14PM	9:20PM	9:26PM	-	-		-	-	-	-	-	9:35PM
104	B	W	9:18PM	9:24PM	9:34PM	9:38PM	9:44PM	9:50PM	9:56PM	-	-		-	-	-	-	-	10:05PM
105	B	W	9:48PM	9:54PM	10:04PM	10:08PM	10:14PM	10:20PM	10:26PM	-	-		-	-	-	-	-	10:35PM
106	B	W	10:18PM	10:24PM	10:34PM	10:38PM	10:44PM	10:50PM	10:56PM	-	-		-	-	-	-	-	11:05PM
107	B	W	10:48PM	10:54PM	11:04PM	11:08PM	11:14PM	11:20PM	11:26PM	-	-		-	-	-	-	-	11:35PM
108	B	W	11:18PM	11:24PM	11:34PM	11:38PM	11:44PM	11:50PM	11:56PM	-	-		-	-	-	-	-	12:05AM
109	B	W	11:48PM	11:54PM	12:04AM	12:08AM	12:14AM	-	-	-	-		-	-	-	-	-	-
110	B	W	12:18AM	12:24AM	12:34AM	12:38AM	12:44AM	-	-	-	-		-	-	-	-	-	-
